mode,t_ros_sec,t_rel_sec,tail_target_rad,center_rad,tail_amp_rad,tail_freq_hz,phase_rad,real_position_rad,present_current_ma,sensor_values
std,1789043838.2894592,0.034634151,0.959151091290233,0.903,0.519,0.5,0.10840311437916358,1.2563302652783401,156.02,"[479.6000061035156, 632.2000122070312]"
std,1789043838.3393703,0.08454533800000001,1.0390703596807853,0.903,0.519,0.5,0.26527841787246376,1.3115535736422232,156.02,"[431.25, 666.5]"
std,1789043838.3892992,0.134474108,1.1156605310929093,0.903,0.519,0.5,0.42218057569976686,1.2732040539450822,-13.45,"[431.25, 666.5]"
std,1789043838.4426003,0.18777531,1.1914859050928959,0.903,0.519,0.5,0.5893845656169052,1.1658253987930873,-16.14,"[367.1666564941406, 656.5]"
std,1789043838.4892993,0.23447420900000002,1.2515470166584621,0.903,0.519,0.5,0.7363313713249521,1.1136700520049756,59.18,"[367.1666564941406, 656.5]"
std,1789043838.5394359,0.28461096,1.3075243377086798,0.903,0.519,0.5,0.8937559854353251,1.1182719943686323,16.14,"[480.20001220703125, 513.4000244140625]"
std,1789043838.589438,0.334613047,1.35340701613819,0.903,0.519,0.5,1.0508306920975339,1.145883648550574,107.6,"[480.20001220703125, 513.4000244140625]"
std,1789043838.639343,0.38451782900000003,1.3881592032724495,0.903,0.519,0.5,1.207684711300606,1.184233168247715,153.32999999999998,"[469.20001220703125, 631.0]"
std,1789043838.689425,0.434600095,1.411042154541708,0.903,0.519,0.5,1.3649415266641653,1.239456476611598,110.28999999999999,"[469.20001220703125, 631.0]"
std,1789043838.73934,0.48451500000000003,1.4213772425482296,0.903,0.519,0.5,1.5218033056010918,1.3023496889149093,110.28999999999999,"[436.3999938964844, 661.0]"
std,1789043838.7893922,0.534567144,1.4189611437903027,0.903,0.519,0.5,1.6790639317165401,1.342233189399936,193.68,"[436.3999938964844, 661.0]"
std,1789043838.8392756,0.584450651,1.403882506540693,0.903,0.519,0.5,1.8358000155313965,1.372912805157649,220.57999999999998,"[413.3999938964844, 690.0]"
std,1789043838.889665,0.634839787,1.3762294180199859,0.903,0.519,0.5,1.9939217616179716,1.389786593824391,250.17,"[413.3999938964844, 690.0]"
std,1789043838.9393582,0.6845333960000001,1.3372923805712025,0.903,0.519,0.5,2.15020446020584,1.394388536188048,204.44,"[403.3999938964844, 689.5999755859375]"
std,1789043838.9893627,0.7345377350000001,1.28748027583649,0.903,0.519,0.5,2.307317553988683,1.394388536188048,75.32,"[403.3999938964844, 689.5999755859375]"
std,1789043839.0393558,0.7845306190000001,1.2282244489583845,0.903,0.519,0.5,2.4643626982640217,1.380582709097077,-5.38,"[408.5, 683.5]"
std,1789043839.0894072,0.834582083,1.1609034734043844,0.903,0.519,0.5,2.621542293280156,1.35143707412725,-5.38,"[408.5, 683.5]"
std,1789043839.1394944,0.8846694530000001,1.0871416500073667,0.903,0.519,0.5,2.7788915845650664,1.3115535736422232,-2.69,"[421.0, 687.5999755859375]"
std,1789043839.1894276,0.9346024150000001,1.009049471847323,0.903,0.519,0.5,2.935809101638853,1.2532623037025687,-2.69,"[421.0, 687.5999755859375]"
std,1789043839.2392879,0.984462802,0.9284839145702742,0.903,0.519,0.5,3.0924709464777123,1.1949710337629145,-10.76,"[439.3999938964844, 647.2000122070312]"
std,1789043839.2894185,1.034593335,0.8469030232941367,0.903,0.519,0.5,3.2498908858982167,1.1336118022474888,-43.04,"[439.3999938964844, 647.2000122070312]"
std,1789043839.339387,1.084561898,0.7669242795780153,0.903,0.519,0.5,3.406881774868428,1.0630486860047492,-32.28,"[505.79998779296875, 619.4000244140625]"
std,1789043839.3894036,1.134578437,0.690202518882083,0.903,0.519,0.5,3.5640625197074733,0.9909515889741242,-123.74,"[505.79998779296875, 619.4000244140625]"
std,1789043839.4394395,1.1846144760000001,0.6187390451184356,0.903,0.519,0.5,3.7212161526019183,0.9142525495798421,-86.08,"[543.0, 577.0]"
std,1789043839.4894319,1.2346069830000002,0.5543269223559151,0.903,0.519,0.5,3.878251890948852,0.8206797215188181,-2.69,"[543.0, 577.0]"
std,1789043839.5394082,1.2845830850000002,0.4985152783570533,0.903,0.519,0.5,4.035226808062013,0.7317088358214509,-2.69,"[600.5, 538.75]"
std,1789043839.5893621,1.3345371220000002,0.452637017353655,0.903,0.519,0.5,4.1922526095513835,0.662679700366597,-37.66,"[600.5, 538.75]"
std,1789043839.6392772,1.3844521680000001,0.41787915448930507,0.903,0.519,0.5,4.34906934119125,0.5967185264875144,-75.32,"[599.2000122070312, 512.5999755859375]"
std,1789043839.6893754,1.434550427,0.39496987038953935,0.903,0.519,0.5,4.506420859865353,0.5399612373357456,-137.19,"[599.2000122070312, 512.5999755859375]"
std,1789043839.7394314,1.484606209,0.385,0.903,0.519,0.5,4.663635778949284,0.49394181369917645,-177.54,"[621.5999755859375, 431.79998779296875]"
std,1789043839.7893138,1.53448896,0.38702524201324384,0.903,0.519,0.5,4.820413554840246,0.45559229400203544,-182.92,"[621.5999755859375, 431.79998779296875]"
std,1789043839.8393657,1.5845407230000002,0.40215177250029344,0.903,0.519,0.5,4.977644728524567,0.4249126782443226,-231.34,"[636.7999877929688, 393.6000061035156]"
std,1789043839.8893952,1.6345703470000001,0.429621087951227,0.903,0.519,0.5,5.134812372922247,0.40803888957758055,-228.65,"[636.7999877929688, 393.6000061035156]"
std,1789043839.939488,1.6846629030000002,0.4687724703170381,0.903,0.519,0.5,5.292025287670065,0.4049709280018093,-228.65,"[664.0, 386.20001220703125]"
std,1789043839.9893997,1.7345746930000001,0.5185613223398868,0.903,0.519,0.5,5.449029522125869,0.4065049087896949,-147.95,"[664.0, 386.20001220703125]"
std,1789043840.0393703,1.7845453420000001,0.577776127920215,0.903,0.519,0.5,5.605956778136882,0.41877675509278006,2.69,"[653.5, 381.0]"
std,1789043840.0892818,1.8344569380000002,0.6449598409903059,0.903,0.519,0.5,5.762831434462096,0.4479223900626072,2.69,"[653.5, 381.0]"
std,1789043840.1394293,1.8846040810000002,0.7187632425283088,0.903,0.519,0.5,5.92028822790602,0.48473792897186263,2.69,"[547.0, 404.5]"
std,1789043840.1894214,1.934596294,0.7969180288819865,0.903,0.519,0.5,6.0773377861190365,0.5338253141842031,2.69,"[547.0, 404.5]"
std,1789043840.2393944,1.9845693370000002,0.8776591453529311,0.903,0.519,0.5,6.234339576415755,0.5905826033359719,10.76,"[628.5999755859375, 381.6000061035156]"
std,1789043840.2894688,2.034643872,0.959133439483777,0.903,0.519,0.5,0.10836890243516883,0.6565437772150544,32.28,"[628.5999755859375, 381.6000061035156]"
std,1789043840.339495,2.084670074,1.0391763647746974,0.903,0.519,0.5,0.2654900763943173,0.7409127205487647,32.28,"[604.2000122070312, 560.0]"
std,1789043840.3893893,2.1345641410000002,1.1157695181915328,0.903,0.519,0.5,0.42241079475101806,0.8206797215188181,64.56,"[604.2000122070312, 560.0]"
std,1789043840.439263,2.1844381520000002,1.1870687785703087,0.903,0.519,0.5,0.5791809962620924,0.9035146840646426,2.69,"[560.7999877929688, 607.4000244140625]"
std,1789043840.489315,2.234489779,1.2515755616170785,0.903,0.519,0.5,0.7364056040177669,0.9740778003073821,13.45,"[560.7999877929688, 607.4000244140625]"
std,1789043840.539428,2.284603046,1.3075069596827993,0.903,0.519,0.5,0.8937025406611054,1.0492428589137786,61.87,"[538.2000122070312, 603.4000244140625]"
std,1789043840.5892906,2.334465496,1.3533154123453757,0.903,0.519,0.5,1.050475563322383,1.1213399559444037,53.8,"[538.2000122070312, 603.4000244140625]"
std,1789043840.6393683,2.3845433380000003,1.388166968313643,0.903,0.519,0.5,1.2077268369165015,1.188835110611372,126.42999999999999,"[490.20001220703125, 628.4000244140625]"
std,1789043840.6893246,2.434499746,1.411019995149525,0.903,0.519,0.5,1.3647327489827816,1.2455923997631406,134.5,"[490.20001220703125, 628.4000244140625]"
std,1789043840.7394235,2.4845986310000003,1.4213837390925033,0.903,0.519,0.5,1.5220595715970333,1.2977477465512524,150.64,"[432.25, 666.25]"
std,1789043840.7892916,2.534466703,1.4189763978882526,0.903,0.519,0.5,1.678791590190996,1.3437671701878218,150.64,"[432.25, 666.25]"
std,1789043840.8392565,2.584431345,1.4038875581413008,0.903,0.519,0.5,1.8357628504903083,1.372912805157649,199.06,"[411.20001220703125, 684.4000244140625]"
std,1789043840.889267,2.6344420740000003,1.376434058291995,0.903,0.519,0.5,1.9929604688234956,1.389786593824391,263.62,"[411.20001220703125, 684.4000244140625]"
std,1789043840.9394383,2.6846133670000003,1.3372384942229212,0.903,0.519,0.5,2.150394061605672,1.394388536188048,201.75,"[426.79998779296875, 698.5999755859375]"
std,1789043840.9893365,2.73451139,1.2875165288941504,0.903,0.519,0.5,2.3072135578470743,1.394388536188048,69.94,"[426.79998779296875, 698.5999755859375]"
std,1789043841.0395048,2.784679731,1.2281146674674366,0.903,0.519,0.5,2.464634094170183,1.3821166898849626,-5.38,"[404.6000061035156, 696.5999755859375]"
std,1789043841.0894284,2.834603344,1.160877783575134,0.903,0.519,0.5,2.621599332036377,1.354505035703021,-5.38,"[404.6000061035156, 696.5999755859375]"
std,1789043841.1392634,2.884438406,1.0874541448488568,0.903,0.519,0.5,2.778247498380823,1.3054176504906807,-5.38,"[397.3999938964844, 677.0]"
std,1789043841.1892657,2.9344407460000004,1.0092743690121675,0.903,0.519,0.5,2.9353664135348527,1.2563302652783401,-2.69,"[397.3999938964844, 677.0]"
std,1789043841.239235,2.984409889,0.9285030871170075,0.903,0.519,0.5,3.092433960507403,1.1995729761265714,-24.21,"[430.5, 663.0]"
std,1789043841.2894382,3.0346134140000003,0.8468854264635475,0.903,0.519,0.5,3.249924991028065,1.1351457830353744,-32.28,"[430.5, 663.0]"
std,1789043841.3394556,3.084630664,0.766832779621595,0.903,0.519,0.5,3.4070644710476063,1.0661166475805206,-26.9,"[415.3333435058594, 642.3333129882812]"
std,1789043841.3893688,3.134543609,0.6902378403618898,0.903,0.519,0.5,3.56398790374036,0.9924855697620099,-123.74,"[415.3333435058594, 642.3333129882812]"
std,1789043841.4393516,3.18452665,0.6188150327900726,0.903,0.519,0.5,3.7210411690327074,0.9157865303677277,-91.46,"[549.2000122070312, 480.0]"
std,1789043841.4893525,3.2345274930000003,0.5543969208753237,0.903,0.519,0.5,3.8780698230882074,0.8222137023067037,-2.69,"[549.2000122070312, 480.0]"
std,1789043841.5392659,3.284440821,0.4986242913088282,0.903,0.519,0.5,4.034891656674544,0.7301748550335652,-2.69,"[585.4000244140625, 538.5999755859375]"
std,1789043841.5893483,3.3345230740000003,0.45264804418878524,0.903,0.519,0.5,4.192209861900148,0.6642136811544826,-45.73,"[585.4000244140625, 538.5999755859375]"
std,1789043841.6392374,3.384412332,0.4178886452144989,0.903,0.519,0.5,4.349017888186772,0.5967185264875144,-69.94,"[607.2000122070312, 522.4000244140625]"
std,1789043841.689265,3.434439987,0.3949949196083784,0.903,0.519,0.5,4.506184998513701,0.5399612373357456,-129.12,"[607.2000122070312, 522.4000244140625]"
std,1789043841.7394931,3.4846681110000004,0.385,0.903,0.519,0.5,4.663888391272968,0.49394181369917645,-172.16,"[647.5, 438.25]"
std,1789043841.7894096,3.5345845020000004,0.3870385204118528,0.903,0.519,0.5,4.820650597430738,0.45559229400203544,-166.78,"[647.5, 438.25]"
std,1789043841.8394344,3.5846093580000002,0.40217197721744613,0.903,0.519,0.5,4.977793187627006,0.42337869745643697,-217.89,"[646.1666870117188, 390.3333435058594]"
