mode,t_ros_sec,t_rel_sec,tail_target_rad,center_rad,tail_amp_rad,tail_freq_hz,phase_rad,real_position_rad,present_current_ma,sensor_values
std,1790078283.5940158,0.042679893,0.9429845720294356,0.903,0.3,0.5,0.13367969971071184,0.7807962210337913,-16.14,"[580.4000244140625, 607.5999755859375]"
std,1790078283.6439388,0.09260266,0.9889897139030878,0.903,0.3,0.5,0.2907098680138708,0.760854470791278,-2.69,"[644.0, 593.2000122070312]"
std,1790078283.694062,0.142725757,1.0329641234332185,0.903,0.3,0.5,0.4480554459362648,0.7992039904884191,115.67,"[644.0, 593.2000122070312]"
std,1790078283.7440176,0.192681389,1.0736571555947045,0.903,0.3,0.5,0.605115638440414,0.8774370106705868,53.8,"[631.7999877929688, 599.5999755859375]"
std,1790078283.7940433,0.24270708700000002,1.1101685896400542,0.903,0.3,0.5,0.7622657401847164,0.9433981845496693,2.69,"[631.7999877929688, 599.5999755859375]"
std,1790078283.843905,0.292568728,1.1414869859734802,0.903,0.3,0.5,0.9189360704653331,0.9955535313377811,2.69,"[554.5999755859375, 604.4000244140625]"
std,1790078283.893914,0.342577841,1.1670251236953129,0.903,0.3,0.5,1.076038545665007,1.0446409165501216,10.76,"[554.5999755859375, 604.4000244140625]"
std,1790078283.944073,0.39273707100000005,1.186095618548722,0.903,0.3,0.5,1.2334975916308633,1.086058397823034,16.14,"[507.20001220703125, 606.2000122070312]"
std,1790078283.9940746,0.44273838000000004,1.198145251840201,0.903,0.3,0.5,1.3906501155431015,1.1182719943686323,16.14,"[507.20001220703125, 606.2000122070312]"
std,1790078284.0440044,0.49266831200000005,1.2029193415108699,0.903,0.3,0.5,1.547606946507355,1.1474176293384597,51.11,"[486.3999938964844, 643.5999755859375]"
std,1790078284.093946,0.542609837,1.2003250318996512,0.903,0.3,0.5,1.7044364612877292,1.167359379580973,67.25,"[486.3999938964844, 643.5999755859375]"
std,1790078284.144076,0.59274001,1.1903936410715255,0.903,0.3,0.5,1.8617218714276216,1.1811652066719438,53.8,"[466.20001220703125, 661.2000122070312]"
std,1790078284.194071,0.6427351370000001,1.1733838399295142,0.903,0.3,0.5,2.0188788878173547,1.188835110611372,72.63,"[466.20001220703125, 661.2000122070312]"
std,1790078284.2439523,0.6926161470000001,1.1497723452551953,0.903,0.3,0.5,2.1756690447249647,1.1903690913992575,0.0,"[475.3999938964844, 652.5999755859375]"
std,1790078284.2939403,0.742604323,1.120050769690322,0.903,0.3,0.5,2.332729915813127,1.1857671490356005,-2.69,"[475.3999938964844, 652.5999755859375]"
std,1790078284.343938,0.792602016,1.0849840906530988,0.903,0.3,0.5,2.4897986157501824,1.1734953027325155,-2.69,"[445.0, 668.2000122070312]"
std,1790078284.393936,0.8425998250000001,1.0454287989628355,0.903,0.3,0.5,2.6468983074987653,1.1535535524900022,-2.69,"[445.0, 668.2000122070312]"
std,1790078284.4439502,0.8926141150000001,1.0023642230482253,0.903,0.3,0.5,2.8040026645124385,1.1274758790959463,-2.69,"[445.6000061035156, 657.4000244140625]"
std,1790078284.4940052,0.942669089,0.9567944730889738,0.903,0.3,0.5,2.9613026233679096,1.1013982057018903,-10.76,"[445.6000061035156, 657.4000244140625]"
std,1790078284.5439355,0.992599604,0.9100325039564464,0.903,0.3,0.5,3.1181488262884596,1.0661166475805206,-37.66,"[455.20001220703125, 648.2000122070312]"
std,1790078284.5939379,1.0426016180000002,0.8630301022458654,0.903,0.3,0.5,3.2752229988799173,1.0246991663076084,-45.73,"[455.20001220703125, 648.2000122070312]"
std,1790078284.6439297,1.092593646,0.8170302609670704,0.903,0.3,0.5,3.4322330232909812,0.983281685034696,-80.7,"[482.6000061035156, 633.4000244140625]"
std,1790078284.6940207,1.1426847020000002,0.7730994009465004,0.903,0.3,0.5,3.589413174369015,0.9387962421860124,-72.63,"[482.6000061035156, 633.4000244140625]"
std,1790078284.7439694,1.1926332860000002,0.732390562148709,0.903,0.3,0.5,3.7465149050112303,0.8866408953979006,-18.83,"[549.2000122070312, 616.5999755859375]"
std,1790078284.7939997,1.242663778,0.695876008836829,0.903,0.3,0.5,3.9036528739247043,0.8375535101855601,-18.83,"[549.2000122070312, 616.5999755859375]"
