mode,t_ros_sec,t_rel_sec,tail_target_rad,center_rad,tail_amp_rad,tail_freq_hz,phase_rad,real_position_rad,present_current_ma,sensor_values
std,1790078354.5986323,0.043375239,0.9436248401890898,0.903,0.3,0.5,0.1358334531118995,0.6289321230331129,-40.35,"[668.4000244140625, 591.5999755859375]"
std,1790078354.6485229,0.09326579800000001,0.9895839694508398,0.903,0.3,0.5,0.2927781166878056,0.6166602767300278,34.97,"[673.4000244140625, 570.5999755859375]"
std,1790078354.698596,0.143338939,1.0334746628491365,0.903,0.3,0.5,0.4499444824572756,0.6596117387908257,34.97,"[673.4000244140625, 570.5999755859375]"
std,1790078354.7485206,0.193263509,1.0741020885512658,0.903,0.3,0.5,0.606920078154449,0.760854470791278,64.56,"[644.2000122070312, 581.2000122070312]"
std,1790078354.798526,0.24326908300000002,1.110547156813347,0.903,0.3,0.5,0.7640118907886566,0.880504972246358,10.76,"[644.2000122070312, 581.2000122070312]"
std,1790078354.8485177,0.29326065500000004,1.141880570006136,0.903,0.3,0.5,0.9211016959451586,0.966407896367954,2.69,"[550.7999877929688, 614.4000244140625]"
std,1790078354.898553,0.343295983,1.167344808196155,0.903,0.3,0.5,1.078287492465191,1.033903051034922,37.66,"[550.7999877929688, 614.4000244140625]"
std,1790078354.9486268,0.393369791,1.1862943654054,0.903,0.3,0.5,1.2355051855754353,1.0799224746714913,48.42,"[505.6000061035156, 632.5999755859375]"
std,1790078354.9987597,0.44350260500000005,1.1982642881440595,0.903,0.3,0.5,1.3928782932742527,1.1136700520049756,67.25,"[505.6000061035156, 632.5999755859375]"
std,1790078355.0487497,0.49349262400000005,1.2029346641419671,0.903,0.3,0.5,1.5499255769741884,1.141281706186917,91.46,"[485.0, 645.7999877929688]"
std,1790078355.0986826,0.5434255640000001,1.2002267135220444,0.903,0.3,0.5,1.7068739978949083,1.1612234564294304,91.46,"[485.0, 645.7999877929688]"
std,1790078355.1486773,0.5934202740000001,1.1902074273150247,0.903,0.3,0.5,1.8638780846958571,1.1780972450961724,110.28999999999999,"[466.6000061035156, 658.0]"
std,1790078355.198666,0.6434090530000001,1.1731226375709205,0.903,0.3,0.5,2.0208843957444045,1.188835110611372,110.28999999999999,"[466.6000061035156, 658.0]"
std,1790078355.248536,0.693279129,1.1494206692086486,0.903,0.3,0.5,2.177727422514782,1.188835110611372,59.18,"[445.3999938964844, 664.0]"
std,1790078355.2985442,0.7432872420000001,1.1196023459922773,0.903,0.3,0.5,2.334892754700269,1.1857671490356005,0.0,"[445.3999938964844, 664.0]"
std,1790078355.3487446,0.7934873720000001,1.0843551171572094,0.903,0.3,0.5,2.492433186765409,1.175029283520401,-2.69,"[440.79998779296875, 663.0]"
std,1790078355.3988037,0.843546718,1.044679144560745,0.903,0.3,0.5,2.6497353730100714,1.158155494853659,-2.69,"[440.79998779296875, 663.0]"
std,1790078355.448813,0.893555764,1.0015548276725683,0.903,0.3,0.5,2.806860615331706,1.1351457830353744,-2.69,"[445.6000061035156, 657.5999755859375]"
