mode,t_ros_sec,t_rel_sec,tail_target_rad,tail_bias_rad,tail_bias_offset_rad,tail_amp_rad,tail_freq_hz,phase_rad,cycle_idx,present_position_rad,present_current_ma,sensor_len,sensor_values
std,1788868349.1699147,0.017531956,0.9356697851294415,0.903,0.0,0.3,1.0,0.10911568100007285,0,0.6734175658817965,2.69,2,"[618.4000244140625, 423.0]"
std,1788868349.2198641,0.067481424,1.0262149973570684,0.903,0.0,0.3,1.0,0.42323993645052055,0,0.7317088358214509,2.69,2,"[618.4000244140625, 423.0]"
std,1788868349.269811,0.11742784,1.1045622374614859,0.903,0.0,0.3,1.0,0.7367362189454423,0,0.8022719520641903,2.69,2,"[579.4000244140625, 494.20001220703125]"
std,1788868349.3198328,0.167449763,1.163432682363151,0.903,0.0,0.3,1.0,1.0513797859447136,0,0.8620972027917303,2.69,2,"[579.4000244140625, 494.20001220703125]"
std,1788868349.3697355,0.21735279300000002,1.196680529894867,0.903,0.0,0.3,1.0,1.365178848856403,0,0.9295923574586985,2.69,2,"[528.0, 577.5999755859375]"
std,1788868349.4197156,0.267332887,1.2012382260863257,0.903,0.0,0.3,1.0,1.679224520508214,0,0.9909515889741242,59.18,2,"[528.0, 577.5999755859375]"
std,1788868349.4697864,0.31740359,1.176581686908368,0.903,0.0,0.3,1.0,1.9936077248747264,0,1.0661166475805206,121.05,2,"[483.79998779296875, 622.2000122070312]"
std,1788868349.5196862,0.367303374,1.1252146839592558,0.903,0.0,0.3,1.0,2.307457731852886,0,1.1336118022474888,67.25,2,"[483.79998779296875, 622.2000122070312]"
std,1788868349.5698416,0.417458726,1.0518717967802866,0.903,0.0,0.3,1.0,2.6223309178592085,0,1.162757437217316,102.22,2,"[433.6000061035156, 666.2000122070312]"
std,1788868349.619765,0.467382159,0.96424183543661,0.903,0.0,0.3,1.0,2.9360080869759386,0,1.162757437217316,-2.69,2,"[433.6000061035156, 666.2000122070312]"
std,1788868349.6698623,0.517479427,0.8703362427160624,0.903,0.0,0.3,1.0,3.250688121582733,0,1.1382137446111458,-2.69,2,"[420.6000061035156, 667.5999755859375]"
std,1788868349.7199292,0.5675463580000001,0.779675528730503,0.903,0.0,0.3,1.0,3.5652328540771228,0,1.0921943209745766,-24.21,2,"[420.6000061035156, 667.5999755859375]"
std,1788868349.7698426,0.6174597000000001,0.7013130885470933,0.903,0.0,0.3,1.0,3.878890105496429,0,1.026233147095494,-26.9,2,"[434.0, 647.4000244140625]"
std,1788868349.8197947,0.667411682,0.6425640672771511,0.903,0.0,0.3,1.0,4.192994267320264,0,0.923456434307156,-26.9,2,"[434.0, 647.4000244140625]"
std,1788868349.86982,0.717437121,0.6092914430985488,0.903,0.0,0.3,1.0,4.5072295780710165,0,0.8436894333371027,-29.59,2,"[497.79998779296875, 597.5999755859375]"
