t_ros_sec,t_rel_sec,tail_target_rad,tail_bias_rad,tail_bias_offset_rad,tail_amp_rad,tail_freq_hz,phase_rad,cycle_idx,present_position_rad,present_current_ma,sensor_len,sensor_values
1778491726.3205822,0.045973911000000006,0.1713953993191597,0.0,0.0,1.2,0.5,0.14331963906914028,0,0.09357282806102411,-2.69,0,[]
1778491726.3704805,0.095872042,0.3550356216655905,0.0,0.0,1.2,0.5,0.30035885830073417,0,0.0046019423636569235,-24.21,0,[]
1778491726.4203687,0.145760426,0.5297811986694662,0.0,0.0,1.2,0.5,0.4572522793588676,0,0.018407769454627694,64.56,0,[]
1778491726.4701984,0.19558999100000002,0.6913491749144802,0.0,0.0,1.2,0.5,0.6139790200771722,0,0.09050486648525283,21.52,0,[]
1778491726.520257,0.24564859100000003,0.8363844215035566,0.0,0.0,1.2,0.5,0.7711871533209717,0,0.22089323345553233,24.21,0,[]
1778491726.570326,0.295717712,0.9608161997372507,0.0,0.0,1.2,0.5,0.9284296870043279,0,0.3758252930319821,2.69,0,[]
1778491726.620297,0.34568864400000004,1.0614273027707792,0.0,0.0,1.2,0.5,1.0854699712358313,0,0.5460971604872883,2.69,0,[]
1778491726.6702442,0.39563590000000004,1.1358757036522489,0.0,0.0,1.2,0.5,1.2424071326884807,0,0.7071651432152806,2.69,0,[]
1778491726.7203615,0.44575320700000004,1.1824939622031532,0.0,0.0,1.2,0.5,1.399776014945179,0,0.8528933180644165,2.69,0,[]
1778491726.7703934,0.495784999,1.1998844969068363,0.0,0.0,1.2,0.5,1.5569215927960602,0,0.9955535313377811,2.69,0,[]
1778491726.8203826,0.5457743070000001,1.1877248773326792,0.0,0.0,1.2,0.5,1.71395188047974,0,1.0829904362472627,2.69,0,[]
1778491726.8705947,0.595986189,1.146116633133197,0.0,0.0,1.2,0.5,1.8716050108981426,0,1.145883648550574,2.69,0,[]
1778491726.920471,0.645862488,1.0765883973575459,0.0,0.0,1.2,0.5,2.0283021421056873,0,1.179631225884058,0.0,0,[]
1778491726.9703023,0.695693835,0.9806711287185357,0.0,0.0,1.2,0.5,2.1850116166307676,0,1.184233168247715,-2.69,0,[]
1778491727.0204017,0.74579346,0.8602239805874679,0.0,0.0,1.2,0.5,2.3423140290701014,0,1.162757437217316,-18.83,0,[]
1778491727.0705092,0.795900868,0.7184726785093379,0.0,0.0,1.2,0.5,2.499681557300366,0,1.1182719943686323,-21.52,0,[]
1778491727.1205149,0.845906633,0.5591633858400926,0.0,0.0,1.2,0.5,2.656862644573011,0,1.047708878125893,-32.28,0,[]
1778491727.1703286,0.895720221,0.38678226721661196,0.0,0.0,1.2,0.5,2.8134149138017057,0,0.9188544919434991,-32.28,0,[]
1778491727.2204,0.945791653,0.20425244494996445,0.0,0.0,1.2,0.5,2.9705495023614845,0,0.7961360289126478,-21.52,0,[]
1778491727.2701693,0.995560764,0.01725994695174223,0.0,0.0,1.2,0.5,3.12720886848374,0,0.6565437772150544,-2.69,0,[]
1778491727.3203652,1.045756701,-0.1712181737817712,0.0,0.0,1.2,0.5,3.2847630764326663,0,0.5031456984264903,-2.69,0,[]
1778491727.370413,1.095804805,-0.3550512073393592,0.0,0.0,1.2,0.5,3.4419651087035326,0,0.33594179254695544,-2.69,0,[]
1778491727.4203465,1.145738106,-0.5298924131468675,0.0,0.0,1.2,0.5,3.5989482253735186,0,0.15800002115222103,-2.69,0,[]
1778491727.4702368,1.195628525,-0.6914490574232449,0.0,0.0,1.2,0.5,3.7556735115344244,0,-0.023009711818284616,-2.69,0,[]
1778491727.5203915,1.245783088,-0.8366828931178943,0.0,0.0,1.2,0.5,3.913126723562723,0,-0.21015536794033285,-2.69,0,[]
1778491727.570367,1.2957586280000002,-0.9608493402941986,0.0,0.0,1.2,0.5,4.07006844032472,0,-0.43104860139586515,-2.69,0,[]
1778491727.620353,1.345744504,-1.0614861607590047,0.0,0.0,1.2,0.5,4.2271677770733325,0,-0.5951845456996288,-2.69,0,[]
1778491727.6702063,1.3955980350000001,-1.1358394062464015,0.0,0.0,1.2,0.5,4.383906012879157,0,-0.7439806821245359,-2.69,0,[]
1778491727.7203925,1.445784127,-1.182513457394159,0.0,0.0,1.2,0.5,4.541464154102085,0,-0.8743690490948155,-2.69,0,[]
1778491727.7703495,1.495741092,-1.1998823704850332,0.0,0.0,1.2,0.5,4.698387109272755,0,-0.9878836273983529,-2.69,0,[]
