t_ros_sec,t_rel_sec,tail_target_rad,tail_bias_rad,tail_bias_offset_rad,tail_amp_rad,tail_freq_hz,phase_rad,cycle_idx,present_position_rad,present_current_ma,sensor_len,sensor_values
1776163046.210822,0.034935454000000005,0.11372666153939795,0.0,-0.015693995361328126,1.2,0.5,0.10806073104540476,0,-0.04141748127291231,-2.69,2,"[589.4000244140625, 672.0]"
1776163046.2601476,0.08426109600000001,0.24910491427686798,0.0,-0.027988140881347656,1.2,0.5,0.23301375866527202,0,-0.18867963690993386,-2.69,2,"[589.7999877929688, 670.2000122070312]"
1776163046.3101606,0.1342742,0.44829353518649956,0.0,-0.04219176131871338,1.2,0.5,0.4210705724754372,0,-0.3374757733348411,-2.69,2,"[589.7999877929688, 670.2000122070312]"
1776163046.3599942,0.18410768400000002,0.5741649374116831,0.0,-0.05028732434882191,1.2,0.5,0.5472922411822698,0,-0.5307573526084318,-2.69,2,"[586.2000122070312, 671.0]"
1776163046.4102876,0.234401182,0.7454319207750032,0.0,-0.05964025614218571,1.2,0.5,0.7354130083940841,0,-0.679553489033339,-2.69,2,"[586.2000122070312, 671.0]"
1776163046.4601665,0.284280087,0.8456651198155813,0.0,-0.06491460051716261,1.2,0.5,0.8614939620243698,0,-0.760854470791278,-13.45,2,"[586.2000122070312, 673.5999755859375]"
1776163046.5103679,0.33448152800000003,0.9697557343782892,0.0,-0.07100813385269512,1.2,0.5,1.049758874931909,0,-0.6979612584879668,78.01,2,"[586.2000122070312, 673.5999755859375]"
1776163046.5600195,0.38413312200000005,1.0335623498424789,0.0,-0.07366658842068308,1.2,0.5,1.175002446465158,0,-0.5752427954571154,37.66,2,"[586.0, 671.0]"
1776163046.6101415,0.434255135,1.0975865245618568,0.0,-0.07673794295867797,1.2,0.5,1.3635620847459011,0,-0.4387185053352934,5.38,2,"[586.0, 671.0]"
1776163046.6601522,0.48426584200000006,1.1192118049929127,0.0,-0.0768257361158651,1.2,0.5,1.4895083457327567,0,-0.2945243112740431,2.69,2,"[588.5999755859375, 665.7999877929688]"
1776163046.7100966,0.53421017,1.1162288953878665,0.0,-0.07692716493657115,1.2,0.5,1.6776486787836176,0,-0.15033011721279282,5.38,2,"[588.5999755859375, 665.7999877929688]"
1776163046.7600849,0.5841982910000001,1.088487202395146,0.0,-0.07903100359862263,1.2,0.5,1.8039965201346035,0,0.039883500485026674,5.38,2,"[584.5999755859375, 672.5999755859375]"
1776163046.810445,0.634558621,1.013449776794064,0.0,-0.0814616016233959,1.2,0.5,1.992418823692495,0,0.1856116753341626,5.38,2,"[584.5999755859375, 672.5999755859375]"
1776163046.8600066,0.684120142,0.9430704490807493,0.0,-0.08171589499561474,1.2,0.5,2.117988797277674,0,0.3282718886075272,2.69,2,"[586.2000122070312, 669.0]"
1776163046.910356,0.734469608,0.8075819250179045,0.0,-0.08200968414369768,1.2,0.5,2.3065482093637457,0,0.4724660826687775,2.69,2,"[586.2000122070312, 669.0]"
1776163046.9601283,0.784241834,0.6986954557113986,0.0,-0.08291984183705918,1.2,0.5,2.432235559133648,0,0.6151262959421421,5.38,2,"[581.2000122070312, 668.0]"
1776163047.0103269,0.8344403890000001,0.5132490691316178,0.0,-0.08397136139111067,1.2,0.5,2.6206664612306327,0,0.7577865092155067,5.38,2,"[581.2000122070312, 668.0]"
1776163047.0601285,0.884241931,0.3796729027915793,0.0,-0.08234279576879183,1.2,0.5,2.746370656220344,0,0.9004467224888714,2.69,2,"[588.2000122070312, 663.5999755859375]"
1776163047.1100974,0.934211121,0.16655315715692043,0.0,-0.08046128819113284,1.2,0.5,2.934265153362876,0,0.9740778003073821,-53.8,2,"[588.2000122070312, 663.5999755859375]"
1776163047.1599994,0.984112921,0.01728525499018714,0.0,-0.08033564111548168,1.2,0.5,3.06015190944328,0,0.9510680884890975,-53.8,2,"[584.2000122070312, 664.0]"
1776163047.210244,1.034357449,-0.2086276261936199,0.0,-0.08019047906508069,1.2,0.5,3.2488290212981186,0,0.885106914610015,-43.04,2,"[584.2000122070312, 664.0]"
1776163047.2600935,1.084207122,-0.35777243588923013,0.0,-0.0803822903620513,1.2,0.5,3.3748608718352284,0,0.7792622402459057,-45.73,2,"[582.5999755859375, 663.7999877929688]"
1776163047.3103967,1.134510399,-0.5715810724604095,0.0,-0.08060389298204086,1.2,0.5,3.563112404699656,0,0.6488738732756262,-13.45,2,"[582.5999755859375, 663.7999877929688]"
1776163047.3599935,1.1841070580000002,-0.7032487279320403,0.0,-0.07923515795412497,1.2,0.5,3.688456843348234,0,0.504679679214376,-2.69,2,"[588.7999877929688, 662.2000122070312]"
1776163047.4102569,1.234370415,-0.8827110823133144,0.0,-0.07765383676476806,1.2,0.5,3.8769888827375154,0,0.35895150436524004,-2.69,2,"[588.7999877929688, 662.2000122070312]"
1776163047.460016,1.284129577,-0.9857685591967736,0.0,-0.07562960777946212,1.2,0.5,4.002522844246107,0,0.21475731030398976,-2.69,2,"[590.7999877929688, 657.7999877929688]"
1776163047.5101218,1.334235349,-1.1137922923739272,0.0,-0.07329098407122789,1.2,0.5,4.190912145373171,0,0.06902913545485385,-2.69,2,"[590.7999877929688, 657.7999877929688]"
1776163047.560007,1.3841205120000002,-1.1777996320183675,0.0,-0.07049969245902271,1.2,0.5,4.316748595130413,0,-0.12578642460662257,-2.69,2,"[581.4000244140625, 640.0]"
1776163047.6101308,1.4342444030000001,-1.2416127099431071,0.0,-0.06727486918641662,1.2,0.5,4.505208908817821,0,-0.2715145994557585,-2.69,2,"[581.4000244140625, 640.0]"
1776163047.6599944,1.4841081100000002,-1.2673311604219504,0.0,-0.07128863708298966,1.2,0.5,4.631152147592543,0,-0.41877675509278006,-2.69,2,"[579.2000122070312, 667.5999755859375]"
1776163047.7103267,1.534440178,-1.269002265940297,0.0,-0.07592580650918306,1.2,0.5,4.819861523603934,0,-0.5645049299419159,-2.69,2,"[579.2000122070312, 667.5999755859375]"
1776163047.7601454,1.5842591270000002,-1.2461210391419548,0.0,-0.07840990327243828,1.2,0.5,4.944892434447276,0,-0.7071651432152806,-2.69,2,"[572.0, 661.0]"
