trial,split,n_finestre,sensor_diff_net,sensor_diff_P,sensor_diff_RMSE_1,sensor_diff_nRMSE_1,sensor_diff_R2_1,sensor_diff_RMSE_persist_1,sensor_diff_skill_rmse_1,sensor_diff_RMSE_avg,sensor_diff_nRMSE_avg,sensor_diff_R2_avg,sensor_diff_RMSE_persist_avg,sensor_diff_skill_rmse_avg,sensor_diff_RMSE_P,sensor_diff_nRMSE_P,sensor_diff_R2_P,sensor_diff_RMSE_persist_P,sensor_diff_skill_rmse_P,current_net,current_P,current_RMSE_1,current_nRMSE_1,current_R2_1,current_RMSE_persist_1,current_skill_rmse_1,current_RMSE_avg,current_nRMSE_avg,current_R2_avg,current_RMSE_persist_avg,current_skill_rmse_avg,current_RMSE_P,current_nRMSE_P,current_R2_P,current_RMSE_persist_P,current_skill_rmse_P,cmd_net,cmd_P,cmd_RMSE_1,cmd_nRMSE_1,cmd_R2_1,cmd_RMSE_persist_1,cmd_skill_rmse_1,cmd_RMSE_avg,cmd_nRMSE_avg,cmd_R2_avg,cmd_RMSE_persist_avg,cmd_skill_rmse_avg,cmd_RMSE_P,cmd_nRMSE_P,cmd_R2_P,cmd_RMSE_persist_P,cmd_skill_rmse_P
trial_1.csv,val,281,FM,1,22.456,0.1794,0.9678,55.9568,0.5987,22.456,0.1794,0.9678,55.9568,0.5987,22.455982208251953,0.17935766038701176,0.9678308309180949,55.95683288574219,0.5986909721265918,FM,1,18.1443,0.3639,0.8676,46.694,0.6114,18.1443,0.3639,0.8676,46.694,0.6114,18.144306182861328,0.3638871520264142,0.8675861454625611,46.694026947021484,0.6114212594375796,IM,1,0.0362,0.1525,0.9767,0.1153,0.6859,0.0362,0.1525,0.9767,0.1153,0.6859,0.03620992973446846,0.1525352155997237,0.9767330075659176,0.11529397964477539,0.6859339069912196
trial_106.csv,val,280,FM,1,48.2034,0.3392,0.8849,100.1309,0.5186,48.2034,0.3392,0.8849,100.1309,0.5186,48.20341873168945,0.33923122668500205,0.8849221755987067,100.13092803955078,0.5185961053646726,FM,1,19.3166,0.3339,0.8885,59.894,0.6775,19.3166,0.3339,0.8885,59.894,0.6775,19.316648483276367,0.33393508221127927,0.8884873589661111,59.894046783447266,0.6774863359439114,IM,1,0.0425,0.1828,0.9666,0.1275,0.6669,0.0425,0.1828,0.9666,0.1275,0.6669,0.042478784918785095,0.1827920805271783,0.9665870552747009,0.12754057347774506,0.6669390472342721
trial_114.csv,val,279,FM,1,21.4159,0.1318,0.9826,108.4344,0.8025,21.4159,0.1318,0.9826,108.4344,0.8025,21.415904998779297,0.13183888635995156,0.9826185075881205,108.43436431884766,0.8024989113616553,FM,1,18.4543,0.333,0.8891,62.8377,0.7063,18.4543,0.333,0.8891,62.8377,0.7063,18.454294204711914,0.33295480581741466,0.8891410865317738,62.83769989013672,0.7063181141738675,IM,1,0.0506,0.1946,0.9621,0.1692,0.7012,0.0506,0.1946,0.9621,0.1692,0.7012,0.05057769641280174,0.19463035784980015,0.9621190200470822,0.16924788057804108,0.701162010182573
trial_115.csv,val,281,FM,1,20.2132,0.1024,0.9895,134.1014,0.8493,20.2132,0.1024,0.9895,134.1014,0.8493,20.213184356689453,0.10239582062749489,0.9895150956444471,134.10142517089844,0.849269429232912,FM,1,20.7744,0.2933,0.914,82.648,0.7486,20.7744,0.2933,0.914,82.648,0.7486,20.77440071105957,0.293255892247552,0.9140009837503029,82.64804077148438,0.7486401308834504,IM,1,0.0282,0.0932,0.9913,0.1952,0.8556,0.0282,0.0932,0.9913,0.1952,0.8556,0.028181547299027443,0.09318437214038834,0.9913166725356817,0.19517287611961365,0.8556072551712764
trial_19.csv,val,280,FM,1,19.3503,0.1391,0.9806,70.5718,0.7258,19.3503,0.1391,0.9806,70.5718,0.7258,19.350263595581055,0.13911052019991546,0.9806482619990435,70.57176971435547,0.7258073068891046,FM,1,17.167,0.3528,0.8755,51.1439,0.6643,17.167,0.3528,0.8755,51.1439,0.6643,17.166969299316406,0.3528160135587682,0.8755208757113736,51.14386749267578,0.6643396336466956,IM,1,0.0311,0.1293,0.9833,0.123,0.7468,0.0311,0.1293,0.9833,0.123,0.7468,0.031149661168456078,0.12933473904638,0.9832725265971564,0.12304054200649261,0.7468341681491262
trial_21.csv,val,280,FM,1,46.9681,0.3735,0.8605,85.6864,0.4519,46.9681,0.3735,0.8605,85.6864,0.4519,46.96805953979492,0.3735176644949419,0.8604845627863893,85.68636322021484,0.4518607421920041,FM,1,14.183,0.3367,0.8866,38.1891,0.6286,14.183,0.3367,0.8866,38.1891,0.6286,14.183016777038574,0.3367040709575781,0.8866303514877987,38.18913650512695,0.6286112210174095,IM,1,0.0363,0.1794,0.9678,0.087,0.5825,0.0363,0.1794,0.9678,0.087,0.5825,0.03632788732647896,0.1793839189836102,0.9678214100042852,0.08702041953802109,0.5825360585556988
trial_25.csv,val,280,FM,1,20.9236,0.1319,0.9826,62.5118,0.6653,20.9236,0.1319,0.9826,62.5118,0.6653,20.9235897064209,0.1319422641136534,0.9825912406540124,62.51179885864258,0.6652857526347107,FM,1,16.2591,0.302,0.9088,47.3615,0.6567,16.2591,0.302,0.9088,47.3615,0.6567,16.25911521911621,0.3020491963599575,0.9087662834883056,47.361515045166016,0.6567019614214029,IM,1,0.0476,0.1883,0.9646,0.1036,0.5402,0.0476,0.1883,0.9646,0.1036,0.5402,0.047640420496463776,0.18825946345342326,0.9645583753908571,0.10361234843730927,0.5402051858202148
trial_26.csv,val,280,FM,1,17.087,0.1286,0.9835,76.7452,0.7774,17.087,0.1286,0.9835,76.7452,0.7774,17.086963653564453,0.12862670717559357,0.9834551699194202,76.74516296386719,0.7773545198984168,FM,1,16.65,0.282,0.9205,60.4205,0.7244,16.65,0.282,0.9205,60.4205,0.7244,16.650005340576172,0.2820123540913478,0.9204690243175856,60.42051315307617,0.724431249062828,IM,1,0.0327,0.1362,0.9814,0.1382,0.7635,0.0327,0.1362,0.9814,0.1382,0.7635,0.032674118876457214,0.13621788520146455,0.9814446883837431,0.13818161189556122,0.763542207763848
trial_3.csv,val,280,FM,1,29.3745,0.2087,0.9564,76.7757,0.6174,29.3745,0.2087,0.9564,76.7757,0.6174,29.374481201171875,0.20871681754140403,0.9564372888022766,76.77568054199219,0.6173986216233458,FM,1,22.1117,0.3746,0.8597,63.7653,0.6532,22.1117,0.3746,0.8597,63.7653,0.6532,22.111677169799805,0.3746255404623117,0.859655696727766,63.76531982421875,0.6532334938371696,IM,1,0.0278,0.1052,0.9889,0.1372,0.7973,0.0278,0.1052,0.9889,0.1372,0.7973,0.027800854295492172,0.10519587397630899,0.9889338281981043,0.1371762901544571,0.7973348436221077
trial_38.csv,val,280,FM,1,47.14,0.2792,0.9221,92.1721,0.4886,47.14,0.2792,0.9221,92.1721,0.4886,47.13996124267578,0.27915754248178914,0.9220710660035166,92.17208099365234,0.48856572690463407,FM,1,19.488,0.416,0.8269,44.9965,0.5669,19.488,0.416,0.8269,44.9965,0.5669,19.488021850585938,0.41600900833260995,0.8269364888476869,44.996517181396484,0.56689932751855,IM,1,0.0412,0.1594,0.9746,0.0946,0.5641,0.0412,0.1594,0.9746,0.0946,0.5641,0.0412432961165905,0.15938269261023402,0.9745971549209749,0.09462606906890869,0.5641444633343453
