trial,split,n_finestre,sensor_diff_net,sensor_diff_P,sensor_diff_RMSE_1,sensor_diff_nRMSE_1,sensor_diff_R2_1,sensor_diff_RMSE_persist_1,sensor_diff_skill_rmse_1,sensor_diff_RMSE_avg,sensor_diff_nRMSE_avg,sensor_diff_R2_avg,sensor_diff_RMSE_persist_avg,sensor_diff_skill_rmse_avg,sensor_diff_RMSE_P,sensor_diff_nRMSE_P,sensor_diff_R2_P,sensor_diff_RMSE_persist_P,sensor_diff_skill_rmse_P,current_net,current_P,current_RMSE_1,current_nRMSE_1,current_R2_1,current_RMSE_persist_1,current_skill_rmse_1,current_RMSE_avg,current_nRMSE_avg,current_R2_avg,current_RMSE_persist_avg,current_skill_rmse_avg,current_RMSE_P,current_nRMSE_P,current_R2_P,current_RMSE_persist_P,current_skill_rmse_P,cmd_net,cmd_P,cmd_RMSE_1,cmd_nRMSE_1,cmd_R2_1,cmd_RMSE_persist_1,cmd_skill_rmse_1,cmd_RMSE_avg,cmd_nRMSE_avg,cmd_R2_avg,cmd_RMSE_persist_avg,cmd_skill_rmse_avg,cmd_RMSE_P,cmd_nRMSE_P,cmd_R2_P,cmd_RMSE_persist_P,cmd_skill_rmse_P
trial_1.csv,val,281,FM,1,19.9283,0.1592,0.9747,55.9568,0.6439,19.9283,0.1592,0.9747,55.9568,0.6439,19.928312301635742,0.15916896605705527,0.9746652378988634,55.95683288574219,0.6438627550217646,FM,1,14.5258,0.2913,0.9151,46.694,0.6889,14.5258,0.2913,0.9151,46.694,0.6889,14.525802612304688,0.2913174463778722,0.9151341492008942,46.694026947021484,0.6889151876152062,IM,1,0.0296,0.1246,0.9845,0.1153,0.7434,0.0296,0.1246,0.9845,0.1153,0.7434,0.029588811099529266,0.12464359123320587,0.9844639771620428,0.11529397964477539,0.7433620455231628
trial_106.csv,val,280,FM,1,44.9157,0.3161,0.9001,100.1309,0.5514,44.9157,0.3161,0.9001,100.1309,0.5514,44.91566467285156,0.3160936801838665,0.9000847872694749,100.13092803955078,0.5514306563191915,FM,1,17.3624,0.3002,0.9099,59.894,0.7101,17.3624,0.3002,0.9099,59.894,0.7101,17.36244010925293,0.30015185451510484,0.9099088602243041,59.894046783447266,0.7101140924401299,IM,1,0.0368,0.1584,0.9749,0.1275,0.7114,0.0368,0.1584,0.9749,0.1275,0.7114,0.036802586168050766,0.15836661305874175,0.9749200129561659,0.12754057347774506,0.7114440905781833
trial_114.csv,val,279,FM,1,18.7255,0.1153,0.9867,108.4344,0.8273,18.7255,0.1153,0.9867,108.4344,0.8273,18.72553253173828,0.11527662994499357,0.9867112996919818,108.43436431884766,0.827309980103019,FM,1,15.8231,0.2855,0.9185,62.8377,0.7482,15.8231,0.2855,0.9185,62.8377,0.7482,15.8231201171875,0.28548281649799545,0.918499561672996,62.83769989013672,0.7481906539409924,IM,1,0.0467,0.1796,0.9678,0.1692,0.7243,0.0467,0.1796,0.9678,0.1692,0.7243,0.04666579142212868,0.17957677648470646,0.9677521843641951,0.16924788057804108,0.7242754753397882
trial_115.csv,val,281,FM,1,19.7042,0.0998,0.99,134.1014,0.8531,19.7042,0.0998,0.99,134.1014,0.8531,19.704248428344727,0.09981765624181126,0.9900364360205955,134.10142517089844,0.8530645859786077,FM,1,17.1631,0.2423,0.9413,82.648,0.7923,17.1631,0.2423,0.9413,82.648,0.7923,17.16307830810547,0.24227769132606491,0.9413015283320619,82.64804077148438,0.7923353276387992,IM,1,0.022,0.0728,0.9947,0.1952,0.8872,0.022,0.0728,0.9947,0.1952,0.8872,0.02202095277607441,0.07281391034346972,0.9946981342654987,0.19517287611961365,0.8871720639983876
trial_19.csv,val,280,FM,1,17.1201,0.1231,0.9849,70.5718,0.7574,17.1201,0.1231,0.9849,70.5718,0.7574,17.120052337646484,0.12307736144140452,0.984851964367095,70.57176971435547,0.7574093379414859,FM,1,15.5894,0.3204,0.8973,51.1439,0.6952,15.5894,0.3204,0.8973,51.1439,0.6952,15.589369773864746,0.3203931457911755,0.8973482279642597,51.14386749267578,0.6951859423596138,IM,1,0.027,0.1122,0.9874,0.123,0.7804,0.027,0.1122,0.9874,0.123,0.7804,0.027013566344976425,0.11216149463216674,0.9874197999320994,0.12304054200649261,0.7804498752650897
trial_21.csv,val,280,FM,1,38.0323,0.3025,0.9085,85.6864,0.5561,38.0323,0.3025,0.9085,85.6864,0.5561,38.032257080078125,0.30245490188892793,0.9085210333743589,85.68636322021484,0.5561457430240699,FM,1,11.1596,0.2649,0.9298,38.1891,0.7078,11.1596,0.2649,0.9298,38.1891,0.7078,11.159648895263672,0.26492947675107287,0.9298123660895601,38.18913650512695,0.7077794913282349,IM,1,0.0339,0.1673,0.972,0.087,0.6107,0.0339,0.1673,0.972,0.087,0.6107,0.033877182751894,0.16728255490181623,0.9720165448076776,0.08702041953802109,0.6106984667306468
trial_25.csv,val,280,FM,1,16.0859,0.1014,0.9897,62.5118,0.7427,16.0859,0.1014,0.9897,62.5118,0.7427,16.085947036743164,0.10143652701184888,0.9897106307536473,62.51179885864258,0.7426734259700607,FM,1,14.9725,0.2781,0.9226,47.3615,0.6839,14.9725,0.2781,0.9226,47.3615,0.6839,14.97245979309082,0.27814671260326307,0.9226344079167119,47.361515045166016,0.6838686478079845,IM,1,0.0439,0.1736,0.9699,0.1036,0.5759,0.0439,0.1736,0.9699,0.1036,0.5759,0.04393981397151947,0.17363586879203768,0.9698505860928015,0.10361234843730927,0.57592106892447
trial_26.csv,val,280,FM,1,14.7763,0.1112,0.9876,76.7452,0.8075,14.7763,0.1112,0.9876,76.7452,0.8075,14.776254653930664,0.11123222469819317,0.9876273921631455,76.74516296386719,0.8074633751069425,FM,1,13.0101,0.2204,0.9514,60.4205,0.7847,13.0101,0.2204,0.9514,60.4205,0.7847,13.010086059570312,0.2203605897740502,0.9514412087225276,60.42051315307617,0.7846743534499767,IM,1,0.0277,0.1153,0.9867,0.1382,0.7998,0.0277,0.1153,0.9867,0.1382,0.7998,0.027661819010972977,0.11532168627859772,0.9867009090159168,0.13818161189556122,0.7998154846255521
trial_3.csv,val,280,FM,1,32.9621,0.2342,0.9451,76.7757,0.5707,32.9621,0.2342,0.9451,76.7757,0.5707,32.96208572387695,0.23420810684956309,0.9451465667799065,76.77568054199219,0.5706702240711699,FM,1,18.8107,0.3187,0.8984,63.7653,0.705,18.8107,0.3187,0.8984,63.7653,0.705,18.810747146606445,0.3186997649333504,0.8984304449891198,63.76531982421875,0.7050003481757505,IM,1,0.0207,0.0785,0.9938,0.1372,0.8488,0.0207,0.0785,0.9938,0.1372,0.8488,0.020747674629092216,0.07850729126469129,0.9938366055105666,0.1371762901544571,0.848751744155416
trial_38.csv,val,280,FM,1,38.0756,0.2255,0.9492,92.1721,0.5869,38.0756,0.2255,0.9492,92.1721,0.5869,38.07561492919922,0.22547950426602517,0.9491589966305196,92.17208099365234,0.5869072877738175,FM,1,15.4185,0.3291,0.8917,44.9965,0.6573,15.4185,0.3291,0.8917,44.9965,0.6573,15.418468475341797,0.3291366270836614,0.8916690798937346,44.996517181396484,0.6573408467774376,IM,1,0.0403,0.1557,0.9758,0.0946,0.5743,0.0403,0.1557,0.9758,0.0946,0.5743,0.0402776338160038,0.15565093806800212,0.9757727812426341,0.09462606906890869,0.5743494978463833
