trial,split,n_finestre,sensor_diff_net,sensor_diff_P,sensor_diff_RMSE_1,sensor_diff_RMSE_pct_1,sensor_diff_skill_rmse_1,sensor_diff_MAE_1,sensor_diff_MAE_pct_1,sensor_diff_skill_mae_1,sensor_diff_RMSE_avg,sensor_diff_RMSE_pct_avg,sensor_diff_skill_rmse_avg,sensor_diff_MAE_avg,sensor_diff_MAE_pct_avg,sensor_diff_skill_mae_avg,sensor_diff_RMSE_persist,sensor_diff_MAE_persist,current_net,current_P,current_RMSE_1,current_RMSE_pct_1,current_skill_rmse_1,current_MAE_1,current_MAE_pct_1,current_skill_mae_1,current_RMSE_avg,current_RMSE_pct_avg,current_skill_rmse_avg,current_MAE_avg,current_MAE_pct_avg,current_skill_mae_avg,current_RMSE_persist,current_MAE_persist,cmd_net,cmd_P,cmd_RMSE_1,cmd_RMSE_pct_1,cmd_skill_rmse_1,cmd_MAE_1,cmd_MAE_pct_1,cmd_skill_mae_1,cmd_RMSE_avg,cmd_RMSE_pct_avg,cmd_skill_rmse_avg,cmd_MAE_avg,cmd_MAE_pct_avg,cmd_skill_mae_avg,cmd_RMSE_persist,cmd_MAE_persist
trial_20260910_143943.csv,val,704,FM,1,12.4491,2.1043,0.8559,9.4414,1.5959,0.8255,12.4491,2.1043,0.8559,9.4414,1.5959,0.8255,86.401,54.1091,FM,1,28.1717,7.0762,0.6412,19.9057,4.9999,0.6624,28.1717,7.0762,0.6412,19.9057,4.9999,0.6624,78.5113,58.966,IM,1,0.0075,0.7235,0.9334,0.0042,0.4112,0.9575,0.0075,0.7235,0.9334,0.0042,0.4112,0.9575,0.1122,0.1
trial_20260910_144543.csv,val,685,FM,1,8.5777,1.4939,0.8522,5.8322,1.0157,0.8372,8.5777,1.4939,0.8522,5.8322,1.0157,0.8372,58.0313,35.8248,FM,1,21.6865,5.2012,0.6257,13.3501,3.2018,0.6597,21.6865,5.2012,0.6257,13.3501,3.2018,0.6597,57.9465,39.2269,IM,1,0.0024,0.2325,0.969,0.0018,0.1751,0.9738,0.0024,0.2325,0.969,0.0018,0.1751,0.9738,0.077,0.0685
trial_20260910_144618.csv,val,769,FM,1,10.648,1.9096,0.8331,7.1438,1.2812,0.8195,10.648,1.9096,0.8331,7.1438,1.2812,0.8195,63.8051,39.5672,FM,1,22.6604,6.0604,0.6135,14.1254,3.7777,0.6612,22.6604,6.0604,0.6135,14.1254,3.7777,0.6612,58.6256,41.6863,IM,1,0.0092,0.8963,0.894,0.0026,0.2555,0.9657,0.0092,0.8963,0.894,0.0026,0.2555,0.9657,0.0869,0.0767
trial_20260910_144953.csv,val,844,FM,1,25.7999,3.6341,0.6914,13.4912,1.9003,0.7207,25.7999,3.6341,0.6914,13.4912,1.9003,0.7207,83.6005,48.3033,FM,1,26.278,5.2804,0.5956,16.1647,3.2482,0.6299,26.278,5.2804,0.5956,16.1647,3.2482,0.6299,64.9732,43.6806,IM,1,0.0046,0.4446,0.9437,0.0029,0.2771,0.9599,0.0046,0.4446,0.9437,0.0029,0.2771,0.9599,0.0818,0.0717
trial_20260910_145153.csv,val,769,FM,1,22.2985,3.7115,0.6492,10.5448,1.7551,0.7225,22.2985,3.7115,0.6492,10.5448,1.7551,0.7225,63.5696,37.9932,FM,1,25.4262,6.6099,0.5581,15.1684,3.9432,0.6166,25.4262,6.6099,0.5581,15.1684,3.9432,0.6166,57.538,39.5594,IM,1,0.0032,0.3152,0.961,0.0023,0.2216,0.9686,0.0032,0.3152,0.961,0.0023,0.2216,0.9686,0.0828,0.0723
trial_20260910_145233.csv,val,753,FM,1,8.0662,1.6011,0.7809,5.4686,1.0855,0.7468,8.0662,1.6011,0.7809,5.4686,1.0855,0.7468,36.8204,21.5979,FM,1,16.3765,4.6473,0.5723,10.1053,2.8676,0.584,16.3765,4.6473,0.5723,10.1053,2.8676,0.584,38.2921,24.2922,IM,1,0.0022,0.2496,0.9581,0.0016,0.1829,0.9644,0.0022,0.2496,0.9581,0.0016,0.1829,0.9644,0.0528,0.0456
trial_20260910_145925.csv,val,705,FM,1,9.3666,1.5968,0.8219,6.5486,1.1164,0.791,9.3666,1.5968,0.8219,6.5486,1.1164,0.791,52.5899,31.3302,FM,1,18.7218,4.3228,0.6365,11.6176,2.6825,0.6571,18.7218,4.3228,0.6365,11.6176,2.6825,0.6571,51.5007,33.8787,IM,1,0.0053,0.5251,0.9229,0.0023,0.228,0.9616,0.0053,0.5251,0.9229,0.0023,0.228,0.9616,0.0682,0.0594
trial_20260910_150038.csv,val,716,FM,1,26.3217,3.8109,0.6273,13.4793,1.9515,0.6642,26.3217,3.8109,0.6273,13.4793,1.9515,0.6642,70.6226,40.1387,FM,1,20.6519,4.2183,0.5827,12.2014,2.4922,0.6265,20.6519,4.2183,0.5827,12.2014,2.4922,0.6265,49.4882,32.667,IM,1,0.0045,0.4325,0.934,0.0026,0.2523,0.9555,0.0045,0.4325,0.934,0.0026,0.2523,0.9555,0.0679,0.0588
trial_20260910_150310.csv,val,774,FM,1,8.7566,1.7156,0.654,5.9892,1.1734,0.6087,8.7566,1.7156,0.654,5.9892,1.1734,0.6087,25.3104,15.3049,FM,1,10.3451,2.87,0.5614,6.8933,1.9123,0.5167,10.3451,2.87,0.5614,6.8933,1.9123,0.5167,23.5848,14.2633,IM,1,0.003,0.3321,0.9106,0.0016,0.1798,0.9461,0.003,0.3321,0.9106,0.0016,0.1798,0.9461,0.0333,0.0299
trial_20260910_150628.csv,val,795,FM,1,8.7495,1.6025,0.7008,6.3849,1.1694,0.641,8.7495,1.6025,0.7008,6.3849,1.1694,0.641,29.2439,17.7854,FM,1,13.6865,3.18,0.5273,8.3893,1.9492,0.5047,13.6865,3.18,0.5273,8.3893,1.9492,0.5047,28.9568,16.9385,IM,1,0.0028,0.2834,0.9267,0.0019,0.1868,0.9462,0.0028,0.2834,0.9267,0.0019,0.1868,0.9462,0.0385,0.0346
