model,channel,h,slope_mean,slope_std,std_ratio_mean,std_ratio_std,n_trials
Supervised P=10,sensor_diff,1,0.913,0.0565,0.9371,0.0495,24
Supervised P=10,sensor_diff,2,0.9308,0.059,0.9534,0.0529,24
Supervised P=10,sensor_diff,3,0.9368,0.0628,0.9627,0.057,24
Supervised P=10,sensor_diff,4,0.9223,0.0644,0.9573,0.0587,24
Supervised P=10,sensor_diff,5,0.8998,0.0617,0.9442,0.0554,24
Supervised P=10,sensor_diff,6,0.8878,0.0639,0.942,0.0569,24
Supervised P=10,sensor_diff,7,0.8694,0.0656,0.9393,0.0599,24
Supervised P=10,sensor_diff,8,0.8318,0.0656,0.9195,0.0621,24
Supervised P=10,sensor_diff,9,0.7927,0.0577,0.8964,0.0585,24
Supervised P=10,sensor_diff,10,0.7595,0.0483,0.8783,0.0549,24
Supervised P=10,current,1,0.8399,0.0464,0.8917,0.0414,24
Supervised P=10,current,2,0.7922,0.0566,0.8597,0.0443,24
Supervised P=10,current,3,0.7648,0.0593,0.8454,0.0488,24
Supervised P=10,current,4,0.7202,0.0579,0.8099,0.0497,24
Supervised P=10,current,5,0.7157,0.0672,0.8288,0.0597,24
Supervised P=10,current,6,0.6451,0.0634,0.7743,0.0583,24
Supervised P=10,current,7,0.6253,0.0656,0.7679,0.0567,24
Supervised P=10,current,8,0.5921,0.0548,0.7552,0.0488,24
Supervised P=10,current,9,0.5422,0.0476,0.7252,0.0488,24
Supervised P=10,current,10,0.4848,0.0401,0.676,0.0463,24
Supervised P=10,tail_target,1,0.9887,0.0139,0.9981,0.0101,24
Supervised P=10,tail_target,2,0.9715,0.0241,0.9907,0.0194,24
Supervised P=10,tail_target,3,0.9561,0.0292,0.9851,0.0252,24
Supervised P=10,tail_target,4,0.9419,0.0354,0.9825,0.0283,24
Supervised P=10,tail_target,5,0.9182,0.0442,0.9745,0.0326,24
Supervised P=10,tail_target,6,0.8868,0.0461,0.96,0.0338,24
Supervised P=10,tail_target,7,0.855,0.043,0.9443,0.0359,24
Supervised P=10,tail_target,8,0.8292,0.042,0.9357,0.0375,24
Supervised P=10,tail_target,9,0.8006,0.0452,0.9243,0.0421,24
Supervised P=10,tail_target,10,0.7655,0.0424,0.9058,0.0413,24
Combo P=10,sensor_diff,1,0.9132,0.0555,0.941,0.0507,24
Combo P=10,sensor_diff,2,0.9621,0.06,0.9875,0.0549,24
Combo P=10,sensor_diff,3,0.9629,0.0631,0.9902,0.0591,24
Combo P=10,sensor_diff,4,0.9403,0.0652,0.9773,0.0627,24
Combo P=10,sensor_diff,5,0.914,0.0631,0.9617,0.0629,24
Combo P=10,sensor_diff,6,0.892,0.0607,0.95,0.0604,24
Combo P=10,sensor_diff,7,0.8646,0.0595,0.9374,0.0582,24
Combo P=10,sensor_diff,8,0.8284,0.0576,0.919,0.0554,24
Combo P=10,sensor_diff,9,0.8004,0.0532,0.9063,0.0552,24
Combo P=10,sensor_diff,10,0.7646,0.0509,0.8864,0.0592,24
Combo P=10,current,1,0.7986,0.0495,0.8595,0.0411,24
Combo P=10,current,2,0.7666,0.0612,0.8462,0.0466,24
Combo P=10,current,3,0.7419,0.059,0.8371,0.0477,24
Combo P=10,current,4,0.7124,0.0567,0.8206,0.0496,24
Combo P=10,current,5,0.6554,0.0595,0.7758,0.0569,24
Combo P=10,current,6,0.6324,0.0587,0.7778,0.051,24
Combo P=10,current,7,0.576,0.054,0.7299,0.0504,24
Combo P=10,current,8,0.5481,0.0471,0.7149,0.0441,24
Combo P=10,current,9,0.5011,0.0411,0.6862,0.041,24
Combo P=10,current,10,0.4456,0.0368,0.6367,0.0413,24
Combo P=10,tail_target,1,0.9796,0.01,0.9912,0.007,24
Combo P=10,tail_target,2,0.959,0.0221,0.9811,0.0189,24
Combo P=10,tail_target,3,0.9389,0.0241,0.9714,0.0236,24
Combo P=10,tail_target,4,0.9153,0.0262,0.9593,0.0263,24
Combo P=10,tail_target,5,0.8875,0.0335,0.9462,0.0314,24
Combo P=10,tail_target,6,0.8581,0.0381,0.9321,0.0353,24
Combo P=10,tail_target,7,0.8268,0.0363,0.9167,0.037,24
Combo P=10,tail_target,8,0.7885,0.0345,0.8952,0.0329,24
Combo P=10,tail_target,9,0.7532,0.034,0.8764,0.0386,24
Combo P=10,tail_target,10,0.7146,0.0335,0.8528,0.0511,24
