Device: cuda | threads: 4
Tuning della SOLA FM (IM fissa). Metrica: val loss di FM.
=== FASE 3 | 13 trial (questo worker) | 30 epoche ===

Caricamento dataset...
Trovati 55 trial.
Dataset grezzo: 55 trial letti. Scaler e finestre costruiti in split_by_trial() (fit solo su train).
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/Estimator/tuning/../../../../src/net/scaler/scalers_joint.pkl (nessun refit).
Dataset: 41225 campioni da 55 trial. H=20 P=1 | seq_cmd=(20, 1) seq_sens=(20, 2)
ctx_dim: 4
Best arch: gru=512, mlp=256
Best training: lr=4.91e-04, batch=32, wd=1.58e-05, dropout=0.09 (val 0.0542)

[I 2026-09-14 15:48:52,361] Using an existing study with name 'fish_fm_phase3' instead of creating a new one.
  Trial 2 | Epoch  0 | val_FM 0.1298
  Trial 2 | Epoch  1 | val_FM 0.1149
  Trial 2 | Epoch  2 | val_FM 0.1005
  Trial 2 | Epoch  3 | val_FM 0.0943
  Trial 2 | Epoch  4 | val_FM 0.0914
  Trial 2 | Epoch  5 | val_FM 0.0839
  Trial 2 | Epoch  6 | val_FM 0.0814
  Trial 2 | Epoch  7 | val_FM 0.0819
  Trial 2 | Epoch  8 | val_FM 0.0864
  Trial 2 | Epoch  9 | val_FM 0.0789
  Trial 2 | Epoch 10 | val_FM 0.0808
  Trial 2 | Epoch 11 | val_FM 0.0779
  Trial 2 | Epoch 12 | val_FM 0.0753
  Trial 2 | Epoch 13 | val_FM 0.0767
  Trial 2 | Epoch 14 | val_FM 0.0758
  Trial 2 | Epoch 15 | val_FM 0.0740
  Trial 2 | Epoch 16 | val_FM 0.0723
  Trial 2 | Epoch 17 | val_FM 0.0708
  Trial 2 | Epoch 18 | val_FM 0.0701
  Trial 2 | Epoch 19 | val_FM 0.0679
  Trial 2 | Epoch 20 | val_FM 0.0704
  Trial 2 | Epoch 21 | val_FM 0.0620
  Trial 2 | Epoch 22 | val_FM 0.0734
  Trial 2 | Epoch 23 | val_FM 0.0624
  Trial 2 | Epoch 24 | val_FM 0.0613
  Trial 2 | Epoch 25 | val_FM 0.0612
  Trial 2 | Epoch 26 | val_FM 0.0597
  Trial 2 | Epoch 27 | val_FM 0.0581
  Trial 2 | Epoch 28 | val_FM 0.0649
  Trial 2 | Epoch 29 | val_FM 0.0572
[I 2026-09-14 15:52:18,820] Trial 2 finished with value: 0.05716883942630945 and parameters: {'gru_hidden': 256, 'mlp_hidden': 128, 'lr': 0.00032167007387941086, 'batch_size': 64, 'weight_decay': 1.8444966978294537e-05, 'dropout': 0.10950823470954284}. Best is trial 2 with value: 0.05716883942630945.
  Trial 4 | Epoch  0 | val_FM 0.1171
  Trial 4 | Epoch  1 | val_FM 0.0960
  Trial 4 | Epoch  2 | val_FM 0.0969
  Trial 4 | Epoch  3 | val_FM 0.0879
  Trial 4 | Epoch  4 | val_FM 0.0827
  Trial 4 | Epoch  5 | val_FM 0.0831
  Trial 4 | Epoch  6 | val_FM 0.0793
  Trial 4 | Epoch  7 | val_FM 0.0780
  Trial 4 | Epoch  8 | val_FM 0.0735
  Trial 4 | Epoch  9 | val_FM 0.0724
  Trial 4 | Epoch 10 | val_FM 0.0654
  Trial 4 | Epoch 11 | val_FM 0.0690
  Trial 4 | Epoch 12 | val_FM 0.0715
  Trial 4 | Epoch 13 | val_FM 0.0684
  Trial 4 | Epoch 14 | val_FM 0.0673
  Trial 4 | Epoch 15 | val_FM 0.0636
  Trial 4 | Epoch 16 | val_FM 0.0641
  Trial 4 | Epoch 17 | val_FM 0.0647
  Trial 4 | Epoch 18 | val_FM 0.0592
  Trial 4 | Epoch 19 | val_FM 0.0605
  Trial 4 | Epoch 20 | val_FM 0.0598
  Trial 4 | Epoch 21 | val_FM 0.0593
  Trial 4 | Epoch 22 | val_FM 0.0555
  Trial 4 | Epoch 23 | val_FM 0.0560
  Trial 4 | Epoch 24 | val_FM 0.0540
  Trial 4 | Epoch 25 | val_FM 0.0554
  Trial 4 | Epoch 26 | val_FM 0.0543
  Trial 4 | Epoch 27 | val_FM 0.0548
  Trial 4 | Epoch 28 | val_FM 0.0543
  Trial 4 | Epoch 29 | val_FM 0.0537
[I 2026-09-14 15:55:44,898] Trial 4 finished with value: 0.05369838822048669 and parameters: {'gru_hidden': 512, 'mlp_hidden': 256, 'lr': 0.00046301304326676785, 'batch_size': 64, 'weight_decay': 2.0028562919164568e-05, 'dropout': 0.1736654566028368}. Best is trial 3 with value: 0.0518780355066916.
  Trial 7 | Epoch  0 | val_FM 0.1368
  Trial 7 | Epoch  1 | val_FM 0.1212
  Trial 7 | Epoch  2 | val_FM 0.1024
  Trial 7 | Epoch  3 | val_FM 0.1078
  Trial 7 | Epoch  4 | val_FM 0.0906
  Trial 7 | Epoch  5 | val_FM 0.0871
  Trial 7 | Epoch  6 | val_FM 0.0842
  Trial 7 | Epoch  7 | val_FM 0.0907
  Trial 7 | Epoch  8 | val_FM 0.0834
[I 2026-09-14 15:56:44,902] Trial 7 pruned. 
  Trial 11 | Epoch  0 | val_FM 0.1158
  Trial 11 | Epoch  1 | val_FM 0.0987
  Trial 11 | Epoch  2 | val_FM 0.0915
  Trial 11 | Epoch  3 | val_FM 0.0881
  Trial 11 | Epoch  4 | val_FM 0.0915
  Trial 11 | Epoch  5 | val_FM 0.0835
  Trial 11 | Epoch  6 | val_FM 0.0884
  Trial 11 | Epoch  7 | val_FM 0.0899
  Trial 11 | Epoch  8 | val_FM 0.0810
[I 2026-09-14 15:57:17,268] Trial 11 pruned. 
  Trial 13 | Epoch  0 | val_FM 0.1116
  Trial 13 | Epoch  1 | val_FM 0.0844
  Trial 13 | Epoch  2 | val_FM 0.0738
  Trial 13 | Epoch  3 | val_FM 0.0734
