trial,split,n_finestre,sensor_diff_RMSE_hist,sensor_diff_MAE_hist,sensor_diff_RMSE_fut,sensor_diff_MAE_fut,sensor_diff_RMSE_persist,sensor_diff_MAE_persist,sensor_diff_ppk,sensor_diff_RMSE_fut_pct,sensor_diff_persist_pct,sensor_diff_MAE_fut_pct,sensor_diff_MAE_persist_pct,sensor_diff_skill_rmse,sensor_diff_skill_mae,current_RMSE_hist,current_MAE_hist,current_RMSE_fut,current_MAE_fut,current_RMSE_persist,current_MAE_persist,current_ppk,current_RMSE_fut_pct,current_persist_pct,current_MAE_fut_pct,current_MAE_persist_pct,current_skill_rmse,current_skill_mae
trial_20260908_135229.csv,val,706,36.7356,28.5671,50.7845,41.6222,74.1886,44.1654,574.2,8.8444,12.9203,7.2487,7.6916,0.3155,0.0576,19.5564,13.8647,20.1321,13.4544,38.7619,25.9627,263.62,7.6368,14.7037,5.1037,9.8485,0.4806,0.4818
trial_20260908_135341.csv,val,769,55.3379,43.169,55.6646,42.3497,116.8389,67.5607,769.7999,7.231,15.1778,5.5014,8.7764,0.5236,0.3732,28.9248,20.2039,28.0629,21.1739,58.7317,35.2254,381.98,7.3467,15.3756,5.5432,9.2218,0.5222,0.3989
trial_20260908_135950.csv,val,743,41.5262,33.7478,42.946,33.6627,92.3924,53.3357,701.8,6.1194,13.1651,4.7966,7.5998,0.5352,0.3689,22.4938,14.7597,21.9358,14.7661,43.6488,27.2222,379.29,5.7834,11.508,3.8931,7.1772,0.4974,0.4576
trial_20260908_140028.csv,val,745,38.7007,30.9145,40.7289,31.3496,59.7922,34.6354,647.8,6.2873,9.23,4.8394,5.3466,0.3188,0.0949,17.7682,12.3397,17.8693,12.3806,33.582,20.0504,347.01,5.1495,9.6775,3.5678,5.7781,0.4679,0.3825
trial_20260908_140418.csv,val,701,71.4539,60.4942,71.7089,60.0703,74.9929,42.9387,760.2,9.4329,9.8649,7.9019,5.6483,0.0438,-0.399,23.6782,15.1133,21.502,13.9429,44.4604,25.7104,473.44,4.5417,9.3909,2.945,5.4306,0.5164,0.4577
trial_20260908_140613.csv,val,770,62.3373,53.2223,67.8909,52.2864,37.7936,22.5361,635.9999,10.6747,5.9424,8.2211,3.5434,-0.7964,-1.3201,17.4697,11.2098,17.7266,11.8703,26.5312,14.9138,395.43,4.4829,6.7094,3.0019,3.7715,0.3319,0.2041
trial_20260908_140653.csv,val,769,64.5493,54.5133,70.2012,55.5353,36.4515,21.574,667.2,10.5218,5.4634,8.3236,3.2335,-0.9259,-1.5742,16.5508,10.9311,17.4842,11.7886,25.8364,14.4015,425.02,4.1137,6.0789,2.7737,3.3884,0.3233,0.1814
trial_20260908_141429.csv,val,829,36.2689,29.0634,36.6273,29.0996,87.6803,52.5983,585.2,6.2589,14.983,4.9726,8.9881,0.5823,0.4468,18.8927,12.2796,19.5717,12.459,42.4728,27.5717,255.55,7.6587,16.6201,4.8754,10.7892,0.5392,0.5481
trial_20260908_141817.csv,val,899,42.7438,31.6305,46.7007,36.4492,70.126,42.0628,767.6,6.084,9.1358,4.7485,5.4798,0.334,0.1335,20.0233,11.9761,20.4074,12.587,50.1754,31.0831,438.47,4.6542,11.4433,2.8707,7.089,0.5933,0.5951
trial_20260908_142815.csv,val,832,32.0771,24.0958,36.0805,27.4446,63.7249,39.1252,698.0,5.1691,9.1296,3.9319,5.6053,0.4338,0.2985,22.0766,14.1622,22.7636,14.9972,51.5389,33.2435,411.57,5.5309,12.5225,3.6439,8.0772,0.5583,0.5489
trial_20260908_144749.csv,val,890,64.2321,53.8869,60.7187,51.3863,60.7835,36.9631,656.4,9.2503,9.2601,7.8285,5.6312,0.0011,-0.3902,29.2277,20.5836,28.8209,20.794,50.9296,33.6462,494.96,5.8229,10.2896,4.2011,6.7978,0.4341,0.382
trial_20260908_145053.csv,val,663,59.8834,45.2967,64.5793,49.0816,54.0474,32.1819,657.4,9.8234,8.2214,7.466,4.8953,-0.1949,-0.5251,30.2515,21.3678,28.2371,20.3765,49.9899,31.4158,476.13,5.9306,10.4992,4.2796,6.5982,0.4351,0.3514
== COMPLESSIVO (pooled) ==,POOLED_val,9316,51.9258,40.5053,54.7796,42.228,72.4142,40.8775,901.292,6.0779,8.0345,4.6853,4.5354,0.2435,-0.033,22.6802,14.8489,22.4117,15.038,44.3746,26.8781,505.72,4.4316,8.7745,2.9736,5.3148,0.4949,0.4405
