Device: cuda | threads: 4
lambda_future FISSO a 0.0 (solo testa history)
=== FASE 2 | 8 trial (questo worker) | 30 epoche ===

Caricamento dataset...
Trovati 34 trial.
  [trial_20260519_151133.csv] attenzione: calibrazione a riposo su 37 campioni (< 50)
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/SensorEstimator/../../../src/net/scaler/scalers.pkl (nessun refit).
Dataset: 27290 campioni da 34 trial. seq feature/timestep = 3
Feature in input per timestep: 3

--- Fase 2, architettura #1: gru=512, mlp=64 ---

[I 2026-07-28 10:56:11,824] Using an existing study with name 'fish_forward_phase2_arch1' instead of creating a new one.
  Trial 1 | Epoch  0 | val 0.3027
  Trial 1 | Epoch  1 | val 0.2607
  Trial 1 | Epoch  2 | val 0.2438
  Trial 1 | Epoch  3 | val 0.2330
  Trial 1 | Epoch  4 | val 0.2269
  Trial 1 | Epoch  5 | val 0.2215
  Trial 1 | Epoch  6 | val 0.2181
  Trial 1 | Epoch  7 | val 0.2156
  Trial 1 | Epoch  8 | val 0.2127
  Trial 1 | Epoch  9 | val 0.2121
  Trial 1 | Epoch 10 | val 0.2089
  Trial 1 | Epoch 11 | val 0.2079
  Trial 1 | Epoch 12 | val 0.2064
  Trial 1 | Epoch 13 | val 0.2055
  Trial 1 | Epoch 14 | val 0.2057
  Trial 1 | Epoch 15 | val 0.2040
  Trial 1 | Epoch 16 | val 0.2039
  Trial 1 | Epoch 17 | val 0.2042
  Trial 1 | Epoch 18 | val 0.2025
  Trial 1 | Epoch 19 | val 0.2022
  Trial 1 | Epoch 20 | val 0.2026
  Trial 1 | Epoch 21 | val 0.2024
  Trial 1 | Epoch 22 | val 0.2007
  Trial 1 | Epoch 23 | val 0.2005
  Trial 1 | Epoch 24 | val 0.2001
  Trial 1 | Epoch 25 | val 0.2004
  Trial 1 | Epoch 26 | val 0.2000
  Trial 1 | Epoch 27 | val 0.1998
  Trial 1 | Epoch 28 | val 0.1991
  Trial 1 | Epoch 29 | val 0.1990
[I 2026-07-28 10:57:26,666] Trial 1 finished with value: 0.19896771446910017 and parameters: {'lr': 0.0003193059855132501, 'batch_size': 64}. Best is trial 0 with value: 0.1960360113271447.
  Trial 5 | Epoch  0 | val 0.2137
  Trial 5 | Epoch  1 | val 0.2090
  Trial 5 | Epoch  2 | val 0.2076
  Trial 5 | Epoch  3 | val 0.2053
  Trial 5 | Epoch  4 | val 0.2045
  Trial 5 | Epoch  5 | val 0.2013
  Trial 5 | Epoch  6 | val 0.2027
  Trial 5 | Epoch  7 | val 0.2037
  Trial 5 | Epoch  8 | val 0.1997
  Trial 5 | Epoch  9 | val 0.1967
  Trial 5 | Epoch 10 | val 0.1964
  Trial 5 | Epoch 11 | val 0.1965
  Trial 5 | Epoch 12 | val 0.1946
  Trial 5 | Epoch 13 | val 0.1922
  Trial 5 | Epoch 14 | val 0.1932
  Trial 5 | Epoch 15 | val 0.1903
  Trial 5 | Epoch 16 | val 0.1898
  Trial 5 | Epoch 17 | val 0.1896
  Trial 5 | Epoch 18 | val 0.1928
  Trial 5 | Epoch 19 | val 0.1908
  Trial 5 | Epoch 20 | val 0.1902
  Trial 5 | Epoch 21 | val 0.1884
  Trial 5 | Epoch 22 | val 0.1892
  Trial 5 | Epoch 23 | val 0.1934
  Trial 5 | Epoch 24 | val 0.1884
  Trial 5 | Epoch 25 | val 0.1876
  Trial 5 | Epoch 26 | val 0.1858
  Trial 5 | Epoch 27 | val 0.1852
  Trial 5 | Epoch 28 | val 0.1849
  Trial 5 | Epoch 29 | val 0.1879
[I 2026-07-28 10:59:52,220] Trial 5 finished with value: 0.1849398906206527 and parameters: {'lr': 0.004079978974734068, 'batch_size': 32}. Best is trial 5 with value: 0.1849398906206527.
  Trial 16 | Epoch  0 | val 0.2124
  Trial 16 | Epoch  1 | val 0.2172
  Trial 16 | Epoch  2 | val 0.2077
  Trial 16 | Epoch  3 | val 0.2037
  Trial 16 | Epoch  4 | val 0.2063
  Trial 16 | Epoch  5 | val 0.2019
  Trial 16 | Epoch  6 | val 0.2019
  Trial 16 | Epoch  7 | val 0.1997
  Trial 16 | Epoch  8 | val 0.1979
  Trial 16 | Epoch  9 | val 0.1979
  Trial 16 | Epoch 10 | val 0.1971
  Trial 16 | Epoch 11 | val 0.1953
  Trial 16 | Epoch 12 | val 0.1938
  Trial 16 | Epoch 13 | val 0.1934
  Trial 16 | Epoch 14 | val 0.1924
  Trial 16 | Epoch 15 | val 0.1934
  Trial 16 | Epoch 16 | val 0.1922
  Trial 16 | Epoch 17 | val 0.1899
  Trial 16 | Epoch 18 | val 0.1910
  Trial 16 | Epoch 19 | val 0.1918
  Trial 16 | Epoch 20 | val 0.1903
  Trial 16 | Epoch 21 | val 0.1903
  Trial 16 | Epoch 22 | val 0.1908
  Trial 16 | Epoch 23 | val 0.1896
  Trial 16 | Epoch 24 | val 0.1853
  Trial 16 | Epoch 25 | val 0.1889
  Trial 16 | Epoch 26 | val 0.1902
  Trial 16 | Epoch 27 | val 0.1872
  Trial 16 | Epoch 28 | val 0.1944
  Trial 16 | Epoch 29 | val 0.1878
[I 2026-07-28 11:02:09,490] Trial 16 finished with value: 0.1852953488453787 and parameters: {'lr': 0.004978191774572898, 'batch_size': 32}. Best is trial 5 with value: 0.1849398906206527.
  Trial 20 | Epoch  0 | val 0.2169
  Trial 20 | Epoch  1 | val 0.2116
  Trial 20 | Epoch  2 | val 0.2069
  Trial 20 | Epoch  3 | val 0.2046
  Trial 20 | Epoch  4 | val 0.2034
  Trial 20 | Epoch  5 | val 0.2031
  Trial 20 | Epoch  6 | val 0.2018
  Trial 20 | Epoch  7 | val 0.1997
  Trial 20 | Epoch  8 | val 0.1992
  Trial 20 | Epoch  9 | val 0.1991
