Device: cuda | threads: 4
lambda_future: fisso a 0.5 in fase 1, cercato in [1e-3, 3.0] (log) nelle fasi 2/3
=== FASE 2 | 8 trial (questo worker) | 30 epoche ===

Caricamento dataset...
Trovati 34 trial.
  [trial_20260519_151133.csv] attenzione: calibrazione a riposo su 37 campioni (< 50)
Dataset grezzo: 34 trial letti. Scaler e finestre verranno costruiti in split_by_trial() (fit solo sul training set).
Feature in input per timestep: 1

--- Fase 2, architettura #1: gru=256, mlp=256 ---

[I 2026-09-07 11:06:39,219] Using an existing study with name 'fish_forward_phase2_arch1' instead of creating a new one.
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/SensorEstimator/../../../src/net/scaler/scalers.pkl (nessun refit).
Dataset: 27324 campioni da 34 trial. seq feature/timestep = 1
  Trial 2 | Epoch  0 | val 0.1218
  Trial 2 | Epoch  1 | val 0.0731
  Trial 2 | Epoch  2 | val 0.0625
  Trial 2 | Epoch  3 | val 0.0562
  Trial 2 | Epoch  4 | val 0.0537
  Trial 2 | Epoch  5 | val 0.0545
  Trial 2 | Epoch  6 | val 0.0511
  Trial 2 | Epoch  7 | val 0.0499
  Trial 2 | Epoch  8 | val 0.0487
  Trial 2 | Epoch  9 | val 0.0474
  Trial 2 | Epoch 10 | val 0.0471
  Trial 2 | Epoch 11 | val 0.0460
  Trial 2 | Epoch 12 | val 0.0450
  Trial 2 | Epoch 13 | val 0.0456
  Trial 2 | Epoch 14 | val 0.0443
  Trial 2 | Epoch 15 | val 0.0453
  Trial 2 | Epoch 16 | val 0.0440
  Trial 2 | Epoch 17 | val 0.0445
  Trial 2 | Epoch 18 | val 0.0460
  Trial 2 | Epoch 19 | val 0.0427
  Trial 2 | Epoch 20 | val 0.0433
  Trial 2 | Epoch 21 | val 0.0426
  Trial 2 | Epoch 22 | val 0.0422
  Trial 2 | Epoch 23 | val 0.0418
  Trial 2 | Epoch 24 | val 0.0444
  Trial 2 | Epoch 25 | val 0.0438
  Trial 2 | Epoch 26 | val 0.0414
  Trial 2 | Epoch 27 | val 0.0422
  Trial 2 | Epoch 28 | val 0.0403
  Trial 2 | Epoch 29 | val 0.0418
[I 2026-09-07 11:07:18,984] Trial 2 finished with value: 0.040304573808810605 and parameters: {'lr': 0.0005750052546460518, 'batch_size': 128, 'lambda_future': 0.0012027789540733796}. Best is trial 2 with value: 0.040304573808810605.
  Trial 4 | Epoch  0 | val 0.0857
  Trial 4 | Epoch  1 | val 0.0649
  Trial 4 | Epoch  2 | val 0.0566
  Trial 4 | Epoch  3 | val 0.0560
  Trial 4 | Epoch  4 | val 0.0578
  Trial 4 | Epoch  5 | val 0.0528
  Trial 4 | Epoch  6 | val 0.0494
  Trial 4 | Epoch  7 | val 0.0488
  Trial 4 | Epoch  8 | val 0.0524
  Trial 4 | Epoch  9 | val 0.0477
  Trial 4 | Epoch 10 | val 0.0467
  Trial 4 | Epoch 11 | val 0.0468
  Trial 4 | Epoch 12 | val 0.0448
  Trial 4 | Epoch 13 | val 0.0452
  Trial 4 | Epoch 14 | val 0.0446
  Trial 4 | Epoch 15 | val 0.0447
  Trial 4 | Epoch 16 | val 0.0436
  Trial 4 | Epoch 17 | val 0.0438
  Trial 4 | Epoch 18 | val 0.0468
  Trial 4 | Epoch 19 | val 0.0425
  Trial 4 | Epoch 20 | val 0.0436
  Trial 4 | Epoch 21 | val 0.0428
  Trial 4 | Epoch 22 | val 0.0422
  Trial 4 | Epoch 23 | val 0.0429
  Trial 4 | Epoch 24 | val 0.0419
  Trial 4 | Epoch 25 | val 0.0440
  Trial 4 | Epoch 26 | val 0.0420
  Trial 4 | Epoch 27 | val 0.0416
  Trial 4 | Epoch 28 | val 0.0422
  Trial 4 | Epoch 29 | val 0.0426
[I 2026-09-07 11:08:24,501] Trial 4 finished with value: 0.0415762270620065 and parameters: {'lr': 0.0005088362871553273, 'batch_size': 64, 'lambda_future': 0.036197799392744937}. Best is trial 2 with value: 0.040304573808810605.
  Trial 8 | Epoch  0 | val 0.2871
  Trial 8 | Epoch  1 | val 0.2140
  Trial 8 | Epoch  2 | val 0.1772
  Trial 8 | Epoch  3 | val 0.1490
  Trial 8 | Epoch  4 | val 0.1268
  Trial 8 | Epoch  5 | val 0.1151
[I 2026-09-07 11:08:31,768] Trial 8 pruned. 
  Trial 12 | Epoch  0 | val 0.2237
  Trial 12 | Epoch  1 | val 0.1706
  Trial 12 | Epoch  2 | val 0.1388
  Trial 12 | Epoch  3 | val 0.1097
  Trial 12 | Epoch  4 | val 0.0901
  Trial 12 | Epoch  5 | val 0.0793
[I 2026-09-07 11:08:39,467] Trial 12 pruned. 
  Trial 15 | Epoch  0 | val 0.0735
  Trial 15 | Epoch  1 | val 0.0575
  Trial 15 | Epoch  2 | val 0.0529
  Trial 15 | Epoch  3 | val 0.0549
  Trial 15 | Epoch  4 | val 0.0538
  Trial 15 | Epoch  5 | val 0.0520
  Trial 15 | Epoch  6 | val 0.0511
  Trial 15 | Epoch  7 | val 0.0450
  Trial 15 | Epoch  8 | val 0.0445
  Trial 15 | Epoch  9 | val 0.0434
  Trial 15 | Epoch 10 | val 0.0509
  Trial 15 | Epoch 11 | val 0.0428
  Trial 15 | Epoch 12 | val 0.0472
  Trial 15 | Epoch 13 | val 0.0418
  Trial 15 | Epoch 14 | val 0.0421
  Trial 15 | Epoch 15 | val 0.0421
  Trial 15 | Epoch 16 | val 0.0455
  Trial 15 | Epoch 17 | val 0.0426
  Trial 15 | Epoch 18 | val 0.0412
  Trial 15 | Epoch 19 | val 0.0447
  Trial 15 | Epoch 20 | val 0.0408
  Trial 15 | Epoch 21 | val 0.0417
  Trial 15 | Epoch 22 | val 0.0420
  Trial 15 | Epoch 23 | val 0.0404
