t_ros_sec,t_rel_sec,tail_target_rad,tail_bias_rad,tail_bias_offset_rad,tail_amp_rad,tail_freq_hz,phase_rad,cycle_idx,present_position_rad,present_current_ma,sensor_len,sensor_values
1779196667.6212208,0.045634640000000004,0.9875099386961298,0.903,0.0,0.30065903867759997,1.0,0.28492170660270993,0,0.880504972246358,-2.69,2,"[444.75, 663.75]"
1779196667.671486,0.095899674,1.0732646794216425,0.903,0.0,0.30138864808266663,1.0,0.6003532038890576,0,0.7976700097005334,-2.69,2,"[528.6666870117188, 603.8333129882812]"
1779196667.7211132,0.14552695400000001,1.1421040800602775,0.903,0.0,0.30211219439906667,1.0,0.9131634505130295,0,0.8145437983672754,72.63,2,"[528.6666870117188, 603.8333129882812]"
1779196667.7712078,0.195621763,1.1881902703532337,0.903,0.0,0.30283975095626664,1.0,1.2277074415915528,0,0.8835729338221293,13.45,2,"[567.5, 545.5]"
1779196667.8214107,0.245824534,1.2064470942020558,0.903,0.0,0.30356803842386665,1.0,1.5425674266255447,0,0.9725438195194965,34.97,2,"[567.5, 545.5]"
1779196667.871702,0.296115652,1.194742773747887,0.903,0.0,0.3043001455857333,1.0,1.8590787772715254,0,1.059980724428978,123.74,2,"[410.79998779296875, 598.0]"
1779196667.9209635,0.345377248,1.1550266503670474,0.903,0.0,0.30501733237706663,1.0,2.169139615102411,0,1.1274758790959463,112.98,2,"[410.79998779296875, 598.0]"
1779196667.971053,0.39546682200000005,1.0899490467887132,0.903,0.0,0.3057449163150667,1.0,2.4836954437020533,0,1.167359379580973,131.81,2,"[459.1666564941406, 669.3333129882812]"
1779196668.0213695,0.445783342,1.0060370631250184,0.903,0.0,0.30647356429653333,1.0,2.7987112894307753,0,1.1765632643082868,64.56,2,"[459.1666564941406, 669.3333129882812]"
1779196668.0711997,0.49561352000000003,0.9118991265246013,0.903,0.0,0.3071996515482667,1.0,3.112620056757928,0,1.1612234564294304,-2.69,2,"[438.0, 683.75]"
1779196668.1211784,0.545592239,0.8164795664652365,0.903,0.0,0.3079254551384,1.0,3.426406188874255,0,1.1136700520049756,-2.69,2,"[438.0, 683.75]"
